,,,,合計金額,"\52,471,358 ",,,,,,,,,,,,,,\0 ,\0 ,,,,,,
03-030,03,シート,直接資材,N03000000000030,アイマックス,WS-5156E 住友CW 3尺 (ｸﾘｰﾑﾎﾜｲﾄ),CW,,,,,m,498,9,対象(外注先売却予定),0,550,850,423300,427533,2026/04/20,,,,100,
03-032,03,シート,直接資材,N03000000000032,アイマックス,幅3尺ｼｰﾄ 250M/1巻 MA色 (住友MA),MA,,,,,m,364,1,対象(通常品),0,165,165,60060,60660.6,2026/04/20,,,,100,
03-034,03,シート,直接資材,N03000000000034,アイマックス,幅3尺ｼｰﾄ 250M/1巻 PW色 (住友PW),PW,,,,,m,364,9,対象(外注先売却予定),0,200,25,9100,9191,2026/04/20,,,,100,
03-036,03,シート,直接資材,N03000000000036,アイマックス,幅3尺ｼｰﾄ 250M/1巻 NO色 (住友NO),NO,,,,,m,364,1,対象(通常品),0,0,250,91000,91910,2026/04/20,,,,100,
03-039,03,シート,直接資材,N03000000000039,アイマックス,WS-906E LCW 3尺 (ﾚｻﾞｰ調ﾎﾜｲﾄ),LCW,,,,,m,498,9,対象(外注先売却予定),0,250,250,124500,125745,2026/04/20,,,,100,
03-045,03,シート,直接資材,N03000000000045,,新WG,WG,,1220,,,m,1370,1,対象(通常品),0,1000,1000,1370000,1383700,2026/04/20,,,,100,
03-057,03,シート,直接資材,N03000000000057,,住友UW UW色 ｱﾝﾊﾞｰｳｫｰﾙﾅｯﾄ 3尺,UW,,,,,m,364,1,対象(通常品),0,52,245,89180,90071.8,2026/04/20,,,,100,
03-059,03,シート,直接資材,N03000000000059,,VE-504C 3尺　ｸﾞﾚｰ,ｸﾞﾚｰ,,'3,1,,m,58,1,対象(通常品),0,0,395,22910,23139.1,2026/04/20,,,,100,
03-060,03,シート,直接資材,N03000000000060,,VE-501C ﾍﾞﾀｼﾛ　3尺,白,,,,,m,58,1,対象(通常品),0,0,500,29000,29290,2026/04/20,,,,100,
03-062,03,シート,直接資材,N03000000000062,,ｼｰﾄ 2432-R21　SY,SY,,,,,m,159,1,対象(通常品),0,0,425,67575,68250.75,2026/04/20,,,,100,
03-063,03,シート,直接資材,N03000000000063,,幅3尺ｼｰﾄ　250m/1巻　NBL色(住友NBL),NBL,,,,,m,364,1,対象(通常品),0,0,225,81900,82719,2026/04/20,,,,100,
03-064,03,シート,直接資材,N03000000000064,,幅3尺ｼｰﾄ　250m/1巻　MW色(住友MW),MW,,,,,m,364,1,対象(通常品),0,0,150,54600,55146,2026/04/20,,,,100,
03-065,03,シート,直接資材,N03000000000065,,幅3尺ｼｰﾄ　250m/1巻　VW色(住友VW),VW,,,,,m,364,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
03-066,03,シート,直接資材,N03000000000066,,幅3尺ｼｰﾄ　250m/1巻　BA色(住友BA),BA,,,,,m,364,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
03-067,03,シート,直接資材,N03000000000067,,VE-504C ｸﾞﾚｰ 4尺幅,ｸﾞﾚｰ,,4尺,,,m,73,1,対象(通常品),0,0,475,34675,35021.75,2026/04/20,,,,100,
03-068,03,シート,直接資材,N03000000000068,,VE-501C ﾎﾜｲﾄ 4尺幅,ﾎﾜｲﾄ,,4尺,,,m,73,1,対象(通常品),0,0,810,59130,59721.3,2026/04/20,,,,100,
03-069,03,シート,直接資材,N03000000000069,,幅3尺ｼｰﾄ 350ｍ/1巻 ＴＯ,,,,,,m,364,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
03-070,03,シート,,N03000000000070,,幅3尺ｼｰﾄ 350ｍ/1巻 CS,CS,,,,,m,364,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
03-071,03,シート,直接資材,N03000000000071,,幅3尺ｼｰﾄ 350ｍ/1巻 LW,LW,,,,,m,364,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
04-002,04,木口ﾃｰﾌﾟ,直接資材,N04000000000002,,ﾀﾞｯﾌﾟ t0.5 ﾗｽﾃｨｯｸ 28㎜巾,RUS,,28,,0.5,m,28,1,対象(通常品),0,280,100,2800,2828,2026/04/20,,,,100,
04-003,04,木口ﾃｰﾌﾟ,直接資材,N04000000000003,,"ﾀﾞｯﾌﾟﾃｰﾌﾟ 44㎜幅 0.5㎜厚
ﾗｽﾃｨｯｸ色",RUS,,44,,0.5,m,44,1,対象(通常品),0,480,340,14960,15109.6,2026/04/20,,,,100,
04-004,04,木口ﾃｰﾌﾟ,直接資材,N04000000000004,,"ﾀﾞｯﾌﾟﾃｰﾌﾟ 44㎜幅 0.5㎜厚
ｴｸﾘｭ色",EC,,44,,0.5,m,44,1,対象(通常品),0,415,330,14520,14665.2,2026/04/20,,,,100,
04-005,04,木口ﾃｰﾌﾟ,直接資材,N04000000000005,,ﾀﾞｯﾌﾟ t0.5 ﾗｽﾃｨｯｸ 36㎜巾,RUS,,36,,0.5,m,36,1,対象(通常品),0,285,285,10260,10362.6,2026/04/20,,,,100,
04-006,04,木口ﾃｰﾌﾟ,直接資材,N04000000000006,,ﾀﾞｯﾌﾟ t0.5 ｴｸﾘｭ 24㎜巾,EC,,24,,0.5,m,24,1,対象(通常品),0,815,470,11280,11392.8,2026/04/20,,,,100,
04-007,04,木口ﾃｰﾌﾟ,直接資材,N04000000000007,,ﾀﾞｯﾌﾟ t0.5 ﾗｽﾃｨｯｸ 24㎜巾,RUS,,24,,0.5,m,24,1,対象(通常品),0,25,560,13440,13574.4,2026/04/20,,,,100,
04-008,04,木口ﾃｰﾌﾟ,直接資材,N04000000000008,,"18㎜巾 ﾁｮｰｸﾄﾞｽｸﾋﾗ色(CS)
ABS 1X18ｴｯｼﾞ ﾛｰｶﾝ",CS,,18,,1,m,84,1,対象(通常品),0,90,90,7560,7635.6,2026/04/20,,,,100,
04-009,04,木口ﾃｰﾌﾟ,直接資材,N04000000000009,,"18㎜巾ﾊﾞﾆﾗｳｯﾄﾞ色(VW)
ABS 1X18ｴｯｼﾞ ﾛｰｶﾝ",VW,,18,,1,m,84,1,対象(通常品),0,370,370,31080,31390.8,2026/04/20,,,,100,
04-010,04,木口ﾃｰﾌﾟ,直接資材,N04000000000010,アイマックス,"ﾛｰｶﾝ 21㎜巾 1㎜厚 300M/1巻 
TO色 ｻｰﾓｽｵｰｸ",住友TO,,21,,1,m,80,9,対象(外注先売却予定),0,10,10,800,808,2026/04/20,,,,100,
04-011,04,木口ﾃｰﾌﾟ,直接資材,N04000000000011,アイマックス,"ﾛｰｶﾝ 21㎜巾 1㎜厚 300M/1巻 
NO色 ﾉﾙﾃｵｰｸ",住友NO,,21,,1,m,80,9,対象(外注先売却予定),0,303,3,240,242.4,2026/04/20,,,,100,
04-012,04,木口ﾃｰﾌﾟ,直接資材,N04000000000012,アイマックス,"ﾛｰｶﾝ 21㎜巾 1㎜厚 300M/1巻 
MA色 ﾐﾃﾞｨｱﾑｱｶｼｱ",住友MA,,21,,1,m,80,9,対象(外注先売却予定),0,40,40,3200,3232,2026/04/20,,,,100,
04-014,04,木口ﾃｰﾌﾟ,直接資材,N04000000000014,アイマックス,"ﾛｰｶﾝ 21㎜巾 1㎜厚 300M/1巻 
MW色 ﾏｰﾌﾞﾙｳｯﾄﾞ",住友MW,,21,,1,m,80,9,対象(外注先売却予定),0,45,45,3600,3636,2026/04/20,,,,100,
04-015,04,木口ﾃｰﾌﾟ,直接資材,N04000000000015,アイマックス,"ﾛｰｶﾝ 21㎜巾 1㎜厚 300M/1巻 
BA色 ﾌﾞﾗｯｸｱｶｼｱ",住友BA,,21,,1,m,80,9,対象(外注先売却予定),0,55,55,4400,4444,2026/04/20,,,,100,
04-016,04,木口ﾃｰﾌﾟ,直接資材,N04000000000016,アイマックス,"ﾛｰｶﾝ 21㎜巾 1㎜厚 300M/1巻 
CS色 ﾁｮｰｸﾄﾞｽｸﾋﾟﾗ",住友CS,,21,,1,m,80,9,対象(外注先売却予定),0,510,510,40800,41208,2026/04/20,,,,100,
04-017,04,木口ﾃｰﾌﾟ,直接資材,N04000000000017,アイマックス,"ﾛｰｶﾝ 21㎜巾 1㎜厚 300M/1巻 
VW色 ﾊﾞﾆﾗｳｯﾄﾞ",住友VW,,21,,1,m,80,9,対象(外注先売却予定),0,150,150,12000,12120,2026/04/20,,,,100,
04-018,04,木口ﾃｰﾌﾟ,直接資材,N04000000000018,アイマックス,"ﾛｰｶﾝ 21㎜巾 1㎜厚 300M/1巻 
NBL色 住友新色 ﾚｻﾞｰﾌﾞﾗｯｸ",住友NBL,,21,,1,m,80,9,対象(外注先売却予定),0,295,300,24000,24240,2026/04/20,,,,100,
04-025,04,木口ﾃｰﾌﾟ,直接資材,N04000000000025,アイマックス,"MW40-2110-S0344E 
21㎜X1㎜厚 BC(MC)",BC(MC),,21,,1,m,84,9,対象(外注先売却予定),0,920,290,24360,24603.6,2026/04/20,,,,100,
04-026,04,木口ﾃｰﾌﾟ,直接資材,N04000000000026,アイマックス,"MW40-2110-S0350E 
21㎜X1㎜厚 住友MC",住友MC,,21,,1,m,84,9,対象(外注先売却予定),0,765,465,39060,39450.6,2026/04/20,,,,100,
04-027,04,木口ﾃｰﾌﾟ,直接資材,N04000000000027,アイマックス,"MW40-2110-S0349E 
21㎜X1㎜厚 SPW",SPW,,21,,1,m,84,9,対象(外注先売却予定),0,930,630,52920,53449.2,2026/04/20,,,,100,
04-028,04,木口ﾃｰﾌﾟ,直接資材,N04000000000028,アイマックス,"MW40-2110-S0345E 
21㎜X1㎜厚 BW",BW,,21,,1,m,84,9,対象(外注先売却予定),0,175,310,26040,26300.4,2026/04/20,,,,100,
04-029,04,木口ﾃｰﾌﾟ,直接資材,N04000000000029,ソハード,"MW40-2110-S0342E 
21㎜X1㎜厚 SH",SH,,21,,1,m,84,9,対象(外注先売却予定),0,1500,599,50316,50819.16,2026/04/20,,,,100,
04-030,04,木口ﾃｰﾌﾟ,直接資材,N04000000000030,アイマックス,"MW40-2110-S0347E 
21㎜X1㎜厚 GW",GW,,21,,1,m,84,9,対象(外注先売却予定),0,480,480,40320,40723.2,2026/04/20,,,,100,
04-031,04,木口ﾃｰﾌﾟ,直接資材,N04000000000031,アイマックス,"MW40-2110-S0343E 
21㎜X1㎜厚 LO",LO,,21,,1,m,84,9,対象(外注先売却予定),0,10,300,25200,25452,2026/04/20,,,,100,
04-032,04,木口ﾃｰﾌﾟ,直接資材,N04000000000032,アイマックス,"MW40-2110-S0348E 
21㎜X1㎜厚 BR",BR,,21,,1,m,84,9,対象(外注先売却予定),0,400,400,33600,33936,2026/04/20,,,,100,
04-033,04,木口ﾃｰﾌﾟ,直接資材,N04000000000033,アイマックス,"MW40-2110-S0346E 
21㎜X1㎜厚 CW",CW,,21,,1,m,84,9,対象(外注先売却予定),0,560,560,47040,47510.4,2026/04/20,,,,100,
04-034,04,木口ﾃｰﾌﾟ,直接資材,N04000000000034,アイマックス,"SC40-2110-N0110Q 
21㎜X1㎜厚 LCW",LCW,,21,,1,m,84,9,対象(外注先売却予定),0,660,660,55440,55994.4,2026/04/20,,,,100,
04-035,04,木口ﾃｰﾌﾟ,直接資材,N04000000000035,アイマックス,"SC40-2110-N0111Q 
21㎜X1㎜厚 LCB",LCB,,21,,1,m,84,9,対象(外注先売却予定),0,265,200,16800,16968,2026/04/20,,,,100,
04-039,04,木口ﾃｰﾌﾟ,直接資材,N04000000000039,,TA-4670 24㎜巾 白,白,,24,,0.5,m,18,1,対象(通常品),0,350,220,3960,3999.6,2026/04/20,,,,100,
04-042,04,木口ﾃｰﾌﾟ,直接資材,N04000000000042,,"WA-4153 22㎜巾
ﾀﾞｰｸﾌﾞﾗｳﾝ",DB,,27,,0.5,m,35,1,対象(通常品),0,120,190,6650,6716.5,2026/04/20,,,,100,
04-059,04,木口ﾃｰﾌﾟ,直接資材,N04000000000059,,"SC40-3320-3029 
33㎜巾 WM",WM,,33,,2,m,126,1,対象(通常品),0,270,170,21420,21634.2,2026/04/20,,,,100,
04-061,04,木口ﾃｰﾌﾟ,直接資材,N04000000000061,,"ﾛｰｶﾝt2㎜ 30㎜巾 
ﾀﾞｰｸﾌﾞﾗｳﾝ",DB,,30,,2,m,44,1,対象(通常品),0,1195,1195,52580,53105.8,2026/04/20,,,,100,
04-062,04,木口ﾃｰﾌﾟ,直接資材,N04000000000062,,"ﾛｰｶﾝt2㎜ 30㎜巾 
ｴｸﾘｭ",EC,,30,,2,m,44,1,対象(通常品),0,1250,1235,54340,54883.4,2026/04/20,,,,100,
04-063,04,木口ﾃｰﾌﾟ,直接資材,N04000000000063,,"ﾛｰｶﾝt2㎜ 30㎜巾 
店研WH 3601-501",店研WH,,30,,2,m,44,1,対象(通常品),0,1390,1370,60280,60882.8,2026/04/20,,,,100,
04-064,04,木口ﾃｰﾌﾟ,直接資材,N04000000000064,,"ﾛｰｶﾝt2㎜ 43㎜巾 
店研WH",店研WH,,43,,2,m,44,1,対象(通常品),0,1180,1180,51920,52439.2,2026/04/20,,,,100,
04-065,04,木口ﾃｰﾌﾟ,直接資材,N04000000000065,,"ﾛｰｶﾝt2㎜ 23㎜巾 ﾗｽﾃｨｯｸ
MW40-2320-S0429E",RUS,,23,,2,m,98,1,対象(通常品),0,1090,610,59780,60377.8,2026/04/20,,,,100,
04-067,04,木口ﾃｰﾌﾟ,直接資材,N04000000000067,,"ﾛｰｶﾝt2㎜ 23㎜巾 
ﾀﾞｰｸﾌﾞﾗｳﾝ",DB,,23,,2,m,84,1,対象(通常品),0,1715,1700,142800,144228,2026/04/20,,,,100,
04-068,04,木口ﾃｰﾌﾟ,直接資材,N04000000000068,,"ﾛｰｶﾝt2㎜ 43㎜巾 
ﾀﾞｰｸﾌﾞﾗｳﾝ",DB,,43,,2,m,84,1,対象(通常品),0,620,500,42000,42420,2026/04/20,,,,100,
04-069,04,木口ﾃｰﾌﾟ,直接資材,N04000000000069,,"ﾛｰｶﾝt2㎜ 23㎜巾 
店研 WH",店研WH,,23,,2,m,44,1,対象(通常品),0,2130,2030,89320,90213.2,2026/04/20,,,,100,
04-070,04,木口ﾃｰﾌﾟ,直接資材,N04000000000070,,"ﾛｰｶﾝt2㎜ 23㎜巾 
ｴｸﾘｭ",EC,,23,,2,m,38,1,対象(通常品),0,100,100,3800,3838,2026/04/20,,,,100,
04-071,04,木口ﾃｰﾌﾟ,直接資材,N04000000000071,ソハード,"MW40-2110-S0286E
21㎜×1.0㎜厚 WH",WH,,21,,1,m,84,9,対象(外注先売却予定),0,850,540,45360,45813.6,2026/04/20,,,,100,
04-072,04,木口ﾃｰﾌﾟ,直接資材,N04000000000072,アイマックス,"MW40-2110-S0124V
 21㎜×1.0㎜厚 GO",GO,,21,,1,m,84,9,対象(外注先売却予定),0,880,145,12180,12301.8,2026/04/20,,,,100,
04-073,04,木口ﾃｰﾌﾟ,直接資材,N04000000000073,,"SC40-2310-3029
23X1㎜厚 WM",WM,,23,,1,m,60,1,対象(通常品),0,30,10,600,606,2026/04/20,,,,100,
04-079,04,木口ﾃｰﾌﾟ,直接資材,N04000000000079,,TA-4670 33㎜巾 白,白,,33,,0.5,m,24.75,1,対象(通常品),0,360,280,6930,6999.3,2026/04/20,,,,100,
04-081,04,木口ﾃｰﾌﾟ,直接資材,N04000000000081,,TA-4670 53㎜巾 白,白,,53,,0.5,m,41.34,1,対象(通常品),0,500,500,20670,20876.7,2026/04/20,,,,100,
04-083,04,木口ﾃｰﾌﾟ,直接資材,N04000000000083,,MW40-4520-4027,NK近似,,45,,2,m,215,1,対象(通常品),0,240,80,17200,17372,2026/04/20,,,,100,
04-084,04,木口ﾃｰﾌﾟ,直接資材,N04000000000084,,ﾛｰｶﾝ 2㎜厚 43㎜幅  GO色(昆山GO),GO,200m/10巻,43,,2,m,84,1,対象(通常品),0,1925,0,0,0,2026/04/20,,,,100,
04-085,04,木口ﾃｰﾌﾟ,直接資材,N04000000000085,,ｴｯｼﾞﾃｰﾌﾟ0.5㎜厚 43㎜幅 GO色,GO,,43,,0.5,m,41,1,対象(通常品),0,3340,1280,52480,53004.8,2026/04/20,,,,100,
04-086,04,木口ﾃｰﾌﾟ,直接資材,N04000000000086,,"MW40-3620-5874E 
ﾛｰｶﾝ2㎜ 36㎜巾 NK色",NK,,36,,2,m,90,1,対象(通常品),0,910,455,40950,41359.5,2026/04/20,,,,100,
04-087,04,木口ﾃｰﾌﾟ,直接資材,N04000000000087,,ﾛｰｶﾝ 43㎜幅 2㎜厚 BW色,BW,,43,,2,m,73,1,対象(通常品),0,4630,2470,180310,182113.1,2026/04/20,,,,100,
04-088,04,木口ﾃｰﾌﾟ,直接資材,N04000000000088,,ﾃｰﾌﾟ 43㎜幅 0.5㎜厚 BW色,BW,,43,,0.5,m,126.7,1,対象(通常品),0,1320,660,83622,84458.22,2026/04/20,,,,100,
04-089,04,木口ﾃｰﾌﾟ,直接資材,N04000000000089,,ﾃｰﾌﾟ TA-4612 45㎜幅,黒,,45,,0.5,m,33.75,1,対象(通常品),0,1800,1080,36450,36814.5,2026/04/20,,,,100,
04-090,04,木口ﾃｰﾌﾟ,直接資材,N04000000000090,,ﾃｰﾌﾟ WA-4275 SY 40㎜幅,SY,,40,,,m,40,1,対象(通常品),0,25,170,6800,6868,2026/04/20,,,,100,
04-091,04,木口ﾃｰﾌﾟ,直接資材,N04000000000091,,MW40-4520-004ME 45巾,BW近似,,45,,2,m,206,1,対象(通常品),0,155,155,31930,32249.3,2026/04/20,,,,100,
04-094,04,木口ﾃｰﾌﾟ,直接資材,N04000000000094,,MW40-4520-4030,"（木目）
WH",,45,,2,m,206,1,対象(通常品),0,180,455,93730,94667.3,2026/04/20,,,,100,
04-096,04,木口ﾃｰﾌﾟ,直接資材,N04000000000096,,小口ﾃｰﾌﾟ WS-266E 0.5㎜厚 36㎜幅 WW,WW,,36,,0.5,m,76.8,1,対象(通常品),0,2,2,153.6,155.136,2026/04/20,,,,100,
04-098,04,木口ﾃｰﾌﾟ,直接資材,N04000000000098,,"新柄ﾎﾜｲﾄ木目調 2㎜厚 
43㎜幅 NWH",NWH,,43,,2,m,336,1,対象(通常品),0,510,250,84000,84840,2026/04/20,,,,100,
04-099,04,木口ﾃｰﾌﾟ,直接資材,N04000000000099,,"新柄ﾎﾜｲﾄ木目調 0.5㎜厚 
43㎜幅 NWH",NWH,,43,,0.5,m,300,1,対象(通常品),0,4200,2810,843000,851430,2026/04/20,,,,100,
04-100,04,木口ﾃｰﾌﾟ,直接資材,N04000000000100,,SC40-4520-3052,黒単色,,45,,2,m,190,1,対象(通常品),0,40,320,60800,61408,2026/04/20,,,,100,
04-101,04,木口ﾃｰﾌﾟ,直接資材,N04000000000101,,MW40-3920-5998V,RUS,,39,,2,m,178,1,対象(通常品),0,70,450,80100,80901,2026/04/20,,,,100,
04-102,04,木口ﾃｰﾌﾟ,直接資材,N04000000000102,,SC40-3920-3052,黒単色,,39,,2,m,218.33,1,対象(通常品),0,310,160,34932.8,35282.128,2026/04/20,,,,100,
04-103,04,木口ﾃｰﾌﾟ,直接資材,N04000000000103,,ﾛｰｶﾝ 2㎜厚 43㎜幅 ﾋﾟﾝｸ,ﾋﾟﾝｸ,,43,,2,m,87,1,対象(通常品),0,1040,770,66990,67659.9,2026/04/20,,,,100,
04-104,04,木口ﾃｰﾌﾟ,直接資材,N04000000000104,,小口ﾃｰﾌﾟ 0.5㎜厚43㎜幅 ﾋﾟﾝｸ,ﾋﾟﾝｸ,,43,,0.5,m,48,1,対象(通常品),0,1420,1400,67200,67872,2026/04/20,,,,100,
04-105,04,木口ﾃｰﾌﾟ,直接資材,N04000000000105,アイマックス,"ﾚｻﾞｰﾎﾜｲﾄ(LW)ABS
1.0X21ｴｯｼﾞ ﾚｻﾞｰ調N",LW,,21,,1,m,80,9,対象(外注先売却予定),0,50,50,4000,4040,2026/04/20,,,,100,
04-106,04,木口ﾃｰﾌﾟ,直接資材,N04000000000106,,SC40-4520-3013 白,白,,45,,2,m,251,1,対象(通常品),0,250,330,82830,83658.3,2026/04/20,,,,100,
04-107,04,木口ﾃｰﾌﾟ,直接資材,N04000000000107,,ｿﾌﾄｴｯｼﾞ NK色 TV29C,NK,,,,,m,157,1,対象(通常品),0,50,140,21980,22199.8,2026/04/20,,,,100,
04-109,04,木口ﾃｰﾌﾟ,直接資材,N04000000000109,,MW40-4520-4042,,,45,,2,m,282,1,対象(通常品),0,210,160,45120,45571.2,2026/04/20,,,,100,
04-112,04,木口ﾃｰﾌﾟ,直接資材,N04000000000112,,TA-4670 44㎜巾 白,白,,44,,0.5,m,34.32,1,対象(通常品),0,70,30,1029.6,1039.896,2026/04/20,,,,100,
04-113,04,木口ﾃｰﾌﾟ,直接資材,N04000000000113,,WA-4147,,,48,,0.5,m,48,1,対象(通常品),0,150,100,4800,4848,2026/04/20,,,,100,
04-116,04,木口ﾃｰﾌﾟ,直接資材,N04000000000116,,ｴｯｼﾞﾃｰﾌﾟ 店研ｾﾒﾝﾄ色 30㎜巾,C,,30,,0.5,m,37.67,1,対象(通常品),0,200,200,7534,7609.34,2026/04/20,,,,100,
04-117,04,木口ﾃｰﾌﾟ,直接資材,N04000000000117,,ｴｯｼﾞﾃｰﾌﾟ 店研ｾﾒﾝﾄ色 42㎜巾,C,,42,,0.5,m,37.67,1,対象(通常品),0,130,130,4897.1,4946.071,2026/04/20,,,,100,
04-118,04,木口ﾃｰﾌﾟ,直接資材,N04000000000118,,ｴｯｼﾞﾃｰﾌﾟ 店研ｾﾒﾝﾄ色 28㎜巾,C,,28,,0.5,m,20,1,対象(通常品),0,160,155,3100,3131,2026/04/20,,,,100,
04-129,04,木口ﾃｰﾌﾟ,直接資材,N04000000000129,,"MW40-3320-4047 
33X2㎜厚 SH(試作)",SH,,33,,2,m,137,1,対象(通常品),0,40,20,2740,2767.4,2026/04/20,,,,100,
04-164,04,木口ﾃｰﾌﾟ,直接資材,N04000000000164,,MW40-4320-4063(積層柄),積層,,43,,2,m,183,1,対象(通常品),0,475,1150,210450,212554.5,2026/04/20,,,,100,
04-165,04,木口ﾃｰﾌﾟ,直接資材,N04000000000165,,MW40-2320-4063(積層柄),積層,,23,,2,m,97,1,対象(通常品),0,30,20,1940,1959.4,2026/04/20,,,,100,
04-166,04,木口ﾃｰﾌﾟ,直接資材,N04000000000166,,MW40-4320-M035IV,GO近似,,43,,2,m,337,1,対象(通常品),0,30,30,10110,10211.1,2026/04/20,,,,100,
04-167,04,木口ﾃｰﾌﾟ,直接資材,N04000000000167,,ﾛｰｶﾝ SC40-3920-3013 2㎜厚39㎜幅,WH,,39,,2,m,144,1,対象(通常品),0,210,160,23040,23270.4,2026/04/20,,,,100,
04-168,04,木口ﾃｰﾌﾟ,直接資材,N04000000000168,,ｴｯｼﾞﾃｰﾌﾟ RUS 0.5X22巾,,,,,,m,150,1,対象(通常品),0,10,460,69000,69690,2026/04/20,,,,100,
04-169,04,木口ﾃｰﾌﾟ,直接資材,N04000000000169,,WS-862E SH 2.0X33巾,,,,,,m,150,1,対象(通常品),0,20,10,1500,1515,2026/04/20,,,,100,
04-170,04,木口ﾃｰﾌﾟ,直接資材,N04000000000170,,MW40-2320-4027 NK,NK,,23,,2.0,m,336,1,対象(通常品),0,2,0,0,0,2026/04/20,,,,100,
04-171,04,木口ﾃｰﾌﾟ,直接資材,N04000000000171,,MW40-2320-4051 MW,MW,,23,,2.0,m,336,1,対象(通常品),0,1,0,0,0,2026/04/20,,,,100,
04-172,04,木口ﾃｰﾌﾟ,直接資材,N04000000000172,,ﾃｰﾌﾟ28mm幅0.45厚　EC(秋田工場より),EC,,28,,0.45,m,33,1,対象(通常品),0,220,420,13860,13998.6,2026/04/20,,,,100,
04-176,04,木口ﾃｰﾌﾟ,直接資材,N04000000000176,,WA-005ME　0.5mm×24mm,WH,,24,1,0.5,m,25.92,1,対象(通常品),0,0,220,5702.4,5759.424,2026/04/20,,,,100,
04-177,04,木口ﾃｰﾌﾟ,間接資材,N04000000000177,,木口ﾃｰﾌﾟ　WA-009ME 0.5x24㎜,,,,,,m,25.92,1,対象(通常品),0,0,470,12182.4,12304.224,2026/04/20,,,,100,
04-178,04,木口ﾃｰﾌﾟ,直接資材,N04000000000178,,ｿﾌﾄｴｯｼﾞMW色,MW,,,,,式,149,1,対象(通常品),0,0,70,10430,10534.3,2026/04/20,,,,100,
04-179,04,木口ﾃｰﾌﾟ,直接資材,N04000000000179,,ﾃ-ﾌﾟ　巾17　WH色,WH,,,,,式,38,1,対象(通常品),0,0,180,6840,6908.4,2026/04/20,,,,100,
04-180,04,木口ﾃｰﾌﾟ,直接資材,N04000000000180,,ﾃｰﾌﾟ　巾20　WH,WH,,,,,式,44,1,対象(通常品),0,0,692,30448,30752.48,2026/04/20,,,,100,
04-181,04,木口ﾃｰﾌﾟ,直接資材,N04000000000181,,ﾃｰﾌﾟ　巾22　WH色,WH,,,,,式,48,1,対象(通常品),0,0,112,5376,5429.76,2026/04/20,,,,100,
04-182,04,木口ﾃｰﾌﾟ,直接資材,N04000000000182,,ﾃｰﾌﾟ　巾17　SH色,SH,,,,,式,38,1,対象(通常品),0,0,180,6840,6908.4,2026/04/20,,,,100,
04-183,04,木口ﾃｰﾌﾟ,直接資材,N04000000000183,,ﾃｰﾌﾟ　巾22　SH色,SH,,,,,式,48,1,対象(通常品),0,0,242,11616,11732.16,2026/04/20,,,,100,
05-002,05,金具,直接資材,N05000000000002,,(+) 木ﾈｼﾞ皿ﾋﾞｽ M2.7X16,,,,,,個,1.3,1,対象(通常品),0,1700,1200,1560,1575.6,2026/04/20,,,,100,
05-009,05,金具,直接資材,N05000000000009,,3.8 x 25 ﾋﾞｽ ｼﾙﾊﾞｰ ｳｹｶﾅｸﾞ用ｻﾗﾀｯﾋﾟﾝｸﾞCG,,,,,,個,2,1,対象(通常品),0,1465,1080,2160,2181.6,2026/04/20,,,,100,
05-010,05,金具,直接資材,N05000000000010,,3.8X51 ｺｰｽﾚｯﾄﾞ,,,,,,個,2.2,1,対象(通常品),0,600,500,1100,1111,2026/04/20,,,,100,
05-011,05,金具,直接資材,N05000000000011,,33用ｱｼﾞｬｽﾀｰ 黒,,,,,,個,25,6,対象(不動品),0,2000,2000,50000,50500,2026/04/20,,,,100,
05-012,05,金具,直接資材,N05000000000012,,33用ｱｼﾞｬｽﾀｰ 白,,,,,,個,25,6,対象(不動品),0,3008,3008,75200,75952,2026/04/20,,,,100,
05-013,05,金具,直接資材,N05000000000013,,"504-JP-SP-3C/12 
Ф50 双輪ｷｬｽﾀｰ SP付",,,,,,個,125,6,対象(不動品),0,439,439,54875,55423.75,2026/04/20,,,,100,
05-016,05,金具,直接資材,N05000000000016,,A-614R-22 面付錠 + L金具ﾋﾞｽ2本ｾｯﾄ,,,,,,個,558,1,対象(通常品),0,200,200,111600,112716,2026/04/20,,,,100,
05-017,05,金具,直接資材,N05000000000017,,A-614R-22 面付錠 CL33-B 別番200通り,,,,,,個,530,1,対象(通常品),0,158,109,57770,58347.7,2026/04/20,,,,100,
05-018,05,金具,直接資材,N05000000000018,,AD501･502用ｶﾊﾞｰｷｬｯﾌﾟ 黒 200-024-441,200-024-441,,,,,個,56,1,対象(通常品),0,875,147,8232,8314.32,2026/04/20,,,,100,
05-019,05,金具,直接資材,N05000000000019,,AD501･502用ｶﾊﾞｰｷｬｯﾌﾟ 白 200-024-440,200-024-440,,,,,個,51,1,対象(通常品),0,1176,482,24582,24827.82,2026/04/20,,,,100,
05-020,05,金具,直接資材,N05000000000020,,AD-502-P ｱｼﾞｬｽﾀｰ 白 200-140-088,200-140-088,,,,,個,112,1,対象(通常品),0,756,136,15232,15384.32,2026/04/20,,,,100,
